;;;;;;;Privacy Strength;Records;QIs;Utility;Runtime;Suppressed;Suppressed Ratio;Variance;Variance (not suppressed)
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression Limit;Suppression Weight;gsFactorStepSize;Value;Value;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;10-anonymity;RGR;0.2;0.25;0.05;10.0;30162.0;9.0;0.19630179722975633;1886.6;2.0;6.630860022544923E-5;0.007906191714560381;0.00789388594685574
Adult;Loss;10-anonymity;RGR;0.2;0.3;0.05;10.0;30162.0;9.0;0.19992195710521385;2104.6;0.0;0.0;0.007422472731903539;0.007422472731903539
Adult;Loss;10-anonymity;RGR;0.2;0.35;0.05;10.0;30162.0;9.0;0.19992195710521385;2290.2;0.0;0.0;0.007422472731903539;0.007422472731903539
Adult;Loss;10-anonymity;RGR;0.2;0.4;0.05;10.0;30162.0;9.0;0.19992195710521385;2430.6;0.0;0.0;0.007422472731903539;0.007422472731903539
Adult;Loss;10-anonymity;RGR;0.2;0.45;0.05;10.0;30162.0;9.0;0.232031386347959;2461.2;3.0;9.946290033817386E-5;0.004680801609462054;0.004664563206002444
Adult;Loss;10-anonymity;RGR;0.2;0.5;0.05;10.0;30162.0;9.0;0.232031386347959;2576.4;3.0;9.946290033817386E-5;0.004680801609462054;0.004664563206002444
Adult;Loss;10-anonymity;RGR;0.3;0.0;0.05;10.0;30162.0;9.0;0.15887793525145238;1431.4;2.0;6.630860022544923E-5;0.014037889626187969;0.014023709279298817
Adult;Loss;10-anonymity;RGR;0.3;0.05;0.05;10.0;30162.0;9.0;0.15887793525145238;1549.6;2.0;6.630860022544923E-5;0.014037889626187969;0.014023709279298817
Adult;Loss;10-anonymity;RGR;0.3;0.1;0.05;10.0;30162.0;9.0;0.15887793525145238;1873.6;2.0;6.630860022544923E-5;0.014037889626187969;0.014023709279298817
Adult;Loss;10-anonymity;RGR;0.3;0.15;0.05;10.0;30162.0;9.0;0.1597013393785168;2288.2;8.0;2.6523440090179694E-4;0.013427359199186133;0.013370271591959835
