;;;;;;Privacy Strength;Records;QIs;Utility;Runtime;Suppressed;Suppressed Ratio;Variance;Variance (not suppressed)
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression Limit;Suppression Weight;Value;Value;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;Flash;1.0;0.20000000000000004;5.0;30162.0;9.0;0.26968835507480593;2961.0;5898.0;0.1955440620648498;0.043424384818510034;8.157438057567466E-27
Adult;Loss;5-anonymity;Flash;1.0;0.21000000000000005;5.0;30162.0;9.0;0.26968835507480593;3070.0;5898.0;0.1955440620648498;0.043424384818510034;8.157438057567466E-27
Adult;Loss;5-anonymity;Flash;1.0;0.22000000000000006;5.0;30162.0;9.0;0.26968835507480593;3192.0;5898.0;0.1955440620648498;0.043424384818510034;8.157438057567466E-27
Adult;Loss;5-anonymity;Flash;1.0;0.23000000000000007;5.0;30162.0;9.0;0.26968835507480593;3292.0;5898.0;0.1955440620648498;0.043424384818510034;8.157438057567466E-27
Adult;Loss;5-anonymity;Flash;1.0;0.24000000000000007;5.0;30162.0;9.0;0.26968835507480593;3468.0;5898.0;0.1955440620648498;0.043424384818510034;8.157438057567466E-27
Adult;Loss;5-anonymity;Flash;1.0;0.25000000000000006;5.0;30162.0;9.0;0.2556677428608611;3498.0;4863.0;0.16122936144817984;0.034514003206480154;7.975156406454105E-27
Adult;Loss;5-anonymity;Flash;1.0;0.26000000000000006;5.0;30162.0;9.0;0.2556677428608611;3626.0;4863.0;0.16122936144817984;0.034514003206480154;7.975156406454105E-27
Adult;Loss;5-anonymity;Flash;1.0;0.2700000000000001;5.0;30162.0;9.0;0.2556677428608611;3795.0;4863.0;0.16122936144817984;0.034514003206480154;7.975156406454105E-27
Adult;Loss;5-anonymity;Flash;1.0;0.2800000000000001;5.0;30162.0;9.0;0.2556677428608611;3880.0;4863.0;0.16122936144817984;0.034514003206480154;7.975156406454105E-27
Adult;Loss;5-anonymity;Flash;1.0;0.2900000000000001;5.0;30162.0;9.0;0.2556677428608611;4002.0;4863.0;0.16122936144817984;0.034514003206480154;7.975156406454105E-27
Adult;Loss;5-anonymity;Flash;1.0;0.3000000000000001;5.0;30162.0;9.0;0.2556677428608611;4031.0;4863.0;0.16122936144817984;0.034514003206480154;7.975156406454105E-27
Adult;Loss;5-anonymity;Flash;1.0;0.3100000000000001;5.0;30162.0;9.0;0.2556677428608611;4198.0;4863.0;0.16122936144817984;0.034514003206480154;7.975156406454105E-27
Adult;Loss;5-anonymity;Flash;1.0;0.3200000000000001;5.0;30162.0;9.0;0.2556677428608611;4326.0;4863.0;0.16122936144817984;0.034514003206480154;7.975156406454105E-27
Adult;Loss;5-anonymity;Flash;1.0;0.3300000000000001;5.0;30162.0;9.0;0.2556677428608611;4288.0;4863.0;0.16122936144817984;0.034514003206480154;7.975156406454105E-27
