;;;;;Time;Utility;Suppressed;Step;Generalization degree 1;Generalization degree 2;Generalization degree 3;Generalization degree 4;Generalization degree 5;Generalization degree 6;Generalization degree 7;Generalization degree 8;Generalization degree 9
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value
Fars;Loss;5-anonymity;RGR;0.1;5641.0;0.11992006347464994;38.0;2.0;0.6255129437173683;0.03207941587326748;0.35471961058217827;0.35471961058217827;3.7647245311431884E-4;0.0038935177387875606;0.35589195901073606;0.0021349950959509397;-0.1
Fars;Loss;5-anonymity;RGR;0.1;5703.0;0.11986662562664148;3.0;3.0;0.6255129437173683;0.03207941587326748;0.35471961058217827;0.3546040269342923;2.972150945639359E-5;0.0038935177387875606;0.35589195901073606;0.0021349950959509397;-0.1
Fars;Loss;5-anonymity;RGR;1.0;15582.0;0.16280366718500633;6438.0;0.0;0.6255129437173683;0.06378235929342065;0.37585490619561374;0.37585490619561374;0.06378235929342065;0.06378235929342065;0.37585490619561374;0.06378235929342065;-0.1
Fars;Loss;5-anonymity;RGR;1.0;21357.0;0.12154138441976053;393.0;1.0;0.6255129437173683;0.0338379385161041;0.35589195901073606;0.35589195901073606;0.0038935177387875606;0.0038935177387875606;0.35589195901073606;0.0038935177387875606;-0.1
Fars;Loss;5-anonymity;RGR;1.0;22092.0;0.11990858578467588;47.0;2.0;0.6255129437173683;0.03212399813745207;0.3547493320916347;0.3547493320916347;4.6563698148349963E-4;0.0038935177387875606;0.35589195901073606;4.6563698148349963E-4;-0.1
Fars;Loss;5-anonymity;RGR;1.0;22342.0;0.11984116101273887;1.0;3.0;0.6255129437173683;0.03212399813745207;0.3545974221544131;0.3547493320916347;9.907169818797864E-6;0.0038935177387875606;0.35589195901073606;4.6563698148349963E-4;-0.1
Fars;Discernibility;5-anonymity;RGR;0.02;3506.0;0.0030468208028924595;144.0;0.0;0.0014266324539068925;1.0;1.0;1.0;0.0014266324539068925;1.0;0.3342844216359379;1.0;-0.1
Fars;Discernibility;5-anonymity;RGR;0.02;3537.0;0.0016400650241209036;2.0;1.0;0.0014266324539068925;1.0;0.9985931818857307;1.0;0.0014266324539068925;1.0;0.3342844216359379;0.9985931818857307;-0.1
Fars;Discernibility;5-anonymity;RGR;0.05;4866.0;0.0030468208028924595;144.0;0.0;0.0014266324539068925;1.0;1.0;1.0;0.0014266324539068925;1.0;0.3342844216359379;1.0;-0.1
Fars;Discernibility;5-anonymity;RGR;0.05;4897.0;0.0016400650241209036;2.0;1.0;0.0014266324539068925;1.0;0.9985931818857307;1.0;0.0014266324539068925;1.0;0.3342844216359379;0.9985931818857307;-0.1
Fars;Discernibility;5-anonymity;RGR;0.1;6250.0;0.0030468208028924595;144.0;0.0;0.0014266324539068925;1.0;1.0;1.0;0.0014266324539068925;1.0;0.3342844216359379;1.0;-0.1
Fars;Discernibility;5-anonymity;RGR;0.1;6282.0;0.0016400650241209036;2.0;1.0;0.0014266324539068925;1.0;0.9985931818857307;1.0;0.0014266324539068925;1.0;0.3342844216359379;0.9985931818857307;-0.1
Fars;Discernibility;5-anonymity;RGR;1.0;21766.0;0.0030468208028924595;144.0;0.0;0.0014266324539068925;1.0;1.0;1.0;0.0014266324539068925;1.0;0.3342844216359379;1.0;-0.1
Fars;Discernibility;5-anonymity;RGR;1.0;21985.0;0.0016400650241209036;2.0;1.0;0.0014266324539068925;1.0;0.9985931818857307;1.0;0.0014266324539068925;1.0;0.3342844216359379;0.9985931818857307;-0.1
Atus;Loss;5-anonymity;RGR;0.02;17054.0;0.12879290043080677;10713.0;0.0;0.5099331853508464;0.8039732741403386;0.019866370701692896;0.019866370701692896;0.5099331853508464;0.019866370701692896;0.5099331853508464;0.34657758046779524;0.5099331853508464
Atus;Loss;5-anonymity;RGR;0.02;18304.0;0.11826151084643176;169.0;1.0;0.5001566982473904;0.8000626792989561;3.13396494780743E-4;0.019866370701692896;0.5001566982473904;0.01008988359823682;0.5099331853508464;0.34005992239882454;0.5001566982473904
Atus;Loss;5-anonymity;RGR;0.02;18538.0;0.11818793437135373;0.0;2.0;0.4998433017526096;0.8000626792989561;0.0;0.019866370701692896;0.5001566982473904;0.009933185350846448;0.5099331853508464;0.34005992239882454;0.5001566982473904
Atus;Loss;5-anonymity;RGR;0.05;11311.0;0.09569470283133096;24177.0;0.0;0.04483424292493505;0.6179336971699739;0.04483424292493505;0.04483424292493505;0.04483424292493505;0.04483424292493505;0.5224171214624675;0.36322282861662336;0.04483424292493505
Atus;Loss;5-anonymity;RGR;0.05;15226.0;0.06988807168001318;649.0;1.0;0.0012035167166432083;0.6004814066866572;0.0012035167166432083;0.04483424292493505;0.02301887982078913;0.02301887982078913;0.5224171214624675;0.34867925321385945;0.02301887982078913
Atus;Loss;5-anonymity;RGR;0.05;15507.0;0.06943578916450939;30.0;2.0;6.295746152548062E-4;0.6004814066866572;5.5632513866404085E-5;0.04483424292493505;0.022444937719400728;0.022444937719400728;0.5224171214624675;0.34867925321385945;0.022444937719400728
Atus;Loss;5-anonymity;RGR;0.05;15742.0;0.06942824100757909;0.0;3.0;6.017583583216041E-4;0.6004814066866572;6.588213099974411E-21;0.04483424292493505;0.022444937719400728;0.022444937719400728;0.5224171214624675;0.34867925321385945;0.022444937719400728
Atus;Loss;5-anonymity;RGR;0.1;12012.0;0.09569470283133096;24177.0;0.0;0.04483424292493505;0.6179336971699739;0.04483424292493505;0.04483424292493505;0.04483424292493505;0.04483424292493505;0.5224171214624675;0.36322282861662336;0.04483424292493505
Atus;Loss;5-anonymity;RGR;0.1;17167.0;0.06992154881912592;1265.0;1.0;0.002345837668033372;0.6094360161185935;0.002345837668033372;0.04483424292493505;0.023590040296484212;0.002345837668033372;0.5224171214624675;0.3490600268643228;0.023590040296484212
Atus;Loss;5-anonymity;RGR;0.1;17589.0;0.06895314086907924;89.0;2.0;0.001255440396251852;0.6094360161185935;1.650431244703321E-4;0.04483424292493505;0.02249964302470269;0.001255440396251852;0.5224171214624675;0.3483330953498018;0.02249964302470269
Atus;Loss;5-anonymity;RGR;0.1;17823.0;0.06891522439289206;6.0;3.0;0.001255440396251852;0.6094360161185935;1.1126502773280816E-5;0.04483424292493505;0.02249964302470269;0.0011784820854033263;0.5224171214624675;0.3483330953498018;0.022422684713854165
Atus;Loss;5-anonymity;RGR;0.1;18058.0;0.06891218811411318;0.0;4.0;0.0012443138934785712;0.6094360161185935;0.0;0.04483424292493505;0.02249964302470269;0.0011784820854033263;0.5224171214624675;0.3483330953498018;0.022411558211080884
Atus;Loss;5-anonymity;RGR;1.0;13633.0;0.09569470283133096;24177.0;0.0;0.04483424292493505;0.6179336971699739;0.04483424292493505;0.04483424292493505;0.04483424292493505;0.04483424292493505;0.5224171214624675;0.36322282861662336;0.04483424292493505
Atus;Loss;5-anonymity;RGR;1.0;54956.0;0.06992154881912592;1265.0;1.0;0.002345837668033372;0.6094360161185935;0.002345837668033372;0.04483424292493505;0.023590040296484212;0.002345837668033372;0.5224171214624675;0.3490600268643228;0.023590040296484212
Atus;Loss;5-anonymity;RGR;1.0;58191.0;0.06895314086907924;89.0;2.0;0.001255440396251852;0.6094360161185935;1.650431244703321E-4;0.04483424292493505;0.02249964302470269;0.001255440396251852;0.5224171214624675;0.3483330953498018;0.02249964302470269
Atus;Loss;5-anonymity;RGR;1.0;58878.0;0.06891522439289206;6.0;3.0;0.001255440396251852;0.6094360161185935;1.1126502773280816E-5;0.04483424292493505;0.02249964302470269;0.0011784820854033263;0.5224171214624675;0.3483330953498018;0.022422684713854165
Atus;Loss;5-anonymity;RGR;1.0;59347.0;0.06891218811411318;0.0;4.0;0.0012443138934785712;0.6094360161185935;0.0;0.04483424292493505;0.02249964302470269;0.0011784820854033263;0.5224171214624675;0.3483330953498018;0.022411558211080884
Atus;Discernibility;5-anonymity;RGR;0.02;15035.0;0.004866854638577227;681.0;0.0;0.0012628580647673726;1.0;0.0012628580647673726;0.5006314290323837;0.5006314290323837;1.0;1.0;0.0012628580647673726;1.0
