;;;;;Privacy Strength;Records;QIs;Utility;Runtime
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;27001.0;9.0;0.07273206313547302;204038.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;28001.0;9.0;0.07126223919859756;207474.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;29001.0;9.0;0.0704466407911627;225312.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;30001.0;9.0;0.07005617332980965;243556.0
Adult;Discernibility;5-anonymity;RGR;0.1;5.0;1000.0;9.0;0.022210876181323082;233.0
Adult;Discernibility;5-anonymity;RGR;0.1;5.0;2000.0;9.0;0.022005026975969774;288.0
Adult;Discernibility;5-anonymity;RGR;0.1;5.0;3000.0;9.0;0.014389408861519308;370.0
Adult;Discernibility;5-anonymity;RGR;0.1;5.0;4000.0;9.0;0.014492469105344494;446.0
Adult;Discernibility;5-anonymity;RGR;0.1;5.0;5000.0;9.0;0.015229948662006445;518.0
Adult;Discernibility;5-anonymity;RGR;0.1;5.0;6000.0;9.0;0.007907780102880856;619.0
Adult;Discernibility;5-anonymity;RGR;0.1;5.0;7000.0;9.0;0.008055830438000925;695.0
Adult;Discernibility;5-anonymity;RGR;0.1;5.0;8000.0;9.0;0.012432835914665733;777.0
Adult;Discernibility;5-anonymity;RGR;0.1;5.0;9000.0;9.0;0.012447764794533458;852.0
Adult;Discernibility;5-anonymity;RGR;0.1;5.0;10000.0;9.0;0.007616719156986808;954.0
Adult;Discernibility;5-anonymity;RGR;0.1;5.0;11000.0;9.0;0.0075084840574675335;1008.0
Adult;Discernibility;5-anonymity;RGR;0.1;5.0;12000.0;9.0;0.0074860697921748575;1131.0
Adult;Discernibility;5-anonymity;RGR;0.1;5.0;13000.0;9.0;0.007470035765889056;1195.0
Adult;Discernibility;5-anonymity;RGR;0.1;5.0;14000.0;9.0;0.007669044626867466;1256.0
Adult;Discernibility;5-anonymity;RGR;0.1;5.0;15000.0;9.0;0.007650478230401358;1386.0
Adult;Discernibility;5-anonymity;RGR;0.1;5.0;16000.0;9.0;0.0074578702335111316;1503.0
Adult;Discernibility;5-anonymity;RGR;0.1;5.0;17000.0;9.0;0.004412364144917183;1601.0
Adult;Discernibility;5-anonymity;RGR;0.1;5.0;18000.0;9.0;0.004338968402961744;1648.0
Adult;Discernibility;5-anonymity;RGR;0.1;5.0;19000.0;9.0;0.00747998535436228;1742.0
Adult;Discernibility;5-anonymity;RGR;0.1;5.0;20000.0;9.0;0.007490811719387328;1816.0
Adult;Discernibility;5-anonymity;RGR;0.1;5.0;21000.0;9.0;0.007496368984862507;1948.0
Adult;Discernibility;5-anonymity;RGR;0.1;5.0;22000.0;9.0;0.004325574820351818;2014.0
Adult;Discernibility;5-anonymity;RGR;0.1;5.0;23000.0;9.0;0.007433432854900888;2062.0
Adult;Discernibility;5-anonymity;RGR;0.1;5.0;24000.0;9.0;0.007431819012658707;2163.0
Adult;Discernibility;5-anonymity;RGR;0.1;5.0;25000.0;9.0;0.00439791232086226;2208.0
Adult;Discernibility;5-anonymity;RGR;0.1;5.0;26000.0;9.0;0.004319177484346687;2427.0
Adult;Discernibility;5-anonymity;RGR;0.1;5.0;27000.0;9.0;0.00432898462322812;2504.0
Adult;Discernibility;5-anonymity;RGR;0.1;5.0;28000.0;9.0;0.004330098439297942;2581.0
Adult;Discernibility;5-anonymity;RGR;0.1;5.0;29000.0;9.0;0.00433096114643592;2607.0
Adult;Discernibility;5-anonymity;RGR;0.1;5.0;30000.0;9.0;0.004333345447463182;2738.0
Adult;Discernibility;5-anonymity;Flash;0.1;5.0;1000.0;9.0;0.05594866250200224;126.0
Adult;Discernibility;5-anonymity;Flash;0.1;5.0;2000.0;9.0;0.03594678049405248;251.0
Adult;Discernibility;5-anonymity;Flash;0.1;5.0;3000.0;9.0;0.026356906249305263;332.0
Adult;Discernibility;5-anonymity;Flash;0.1;5.0;4000.0;9.0;0.02247808217242487;417.0
Adult;Discernibility;5-anonymity;Flash;0.1;5.0;5000.0;9.0;0.021822448356718472;500.0
Adult;Discernibility;5-anonymity;Flash;0.1;5.0;6000.0;9.0;0.019060004237754592;593.0
Adult;Discernibility;5-anonymity;Flash;0.1;5.0;7000.0;9.0;0.01790140313817385;668.0
Adult;Discernibility;5-anonymity;Flash;0.1;5.0;8000.0;9.0;0.016429603592999404;750.0
Adult;Discernibility;5-anonymity;Flash;0.1;5.0;9000.0;9.0;0.015778929131611875;843.0
Adult;Discernibility;5-anonymity;Flash;0.1;5.0;10000.0;9.0;0.015107714393740554;943.0
Adult;Discernibility;5-anonymity;Flash;0.1;5.0;11000.0;9.0;0.013593759901070344;998.0
Adult;Discernibility;5-anonymity;Flash;0.1;5.0;12000.0;9.0;0.012898618147832455;1159.0
Adult;Discernibility;5-anonymity;Flash;0.1;5.0;13000.0;9.0;0.011928559787562899;1172.0
Adult;Discernibility;5-anonymity;Flash;0.1;5.0;14000.0;9.0;0.012095605059023016;1238.0
Adult;Discernibility;5-anonymity;Flash;0.1;5.0;15000.0;9.0;0.011848649738166534;1387.0
Adult;Discernibility;5-anonymity;Flash;0.1;5.0;16000.0;9.0;0.01120580828429002;1474.0
Adult;Discernibility;5-anonymity;Flash;0.1;5.0;17000.0;9.0;0.01128929360534186;1554.0
Adult;Discernibility;5-anonymity;Flash;0.1;5.0;18000.0;9.0;0.010834125851593006;1636.0
Adult;Discernibility;5-anonymity;Flash;0.1;5.0;19000.0;9.0;0.010110710163103243;1689.0
Adult;Discernibility;5-anonymity;Flash;0.1;5.0;20000.0;9.0;0.0098901543908782;1804.0
Adult;Discernibility;5-anonymity;Flash;0.1;5.0;21000.0;9.0;0.009876677317716976;1941.0
Adult;Discernibility;5-anonymity;Flash;0.1;5.0;22000.0;9.0;0.009823255213832434;1986.0
Adult;Discernibility;5-anonymity;Flash;0.1;5.0;23000.0;9.0;0.009476427766252661;2061.0
Adult;Discernibility;5-anonymity;Flash;0.1;5.0;24000.0;9.0;0.009389715112475891;2122.0
Adult;Discernibility;5-anonymity;Flash;0.1;5.0;25000.0;9.0;0.009195550768935445;2213.0
Adult;Discernibility;5-anonymity;Flash;0.1;5.0;26000.0;9.0;0.009125334358461528;2331.0
