;;;;;;;;;;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;gsFactorStepSize;K;Records;QIs;Value;Value;Value;Value;Value;Value
Ihis;Loss;25-anonymity;Flash;0.05;0.5;0.0;25;1193504;9;0.1834824569;78925.0;49076.0;0.0411192589;0.0086024637;0.0
Ihis;Loss;25-anonymity;Flash;0.1;0.5;0.0;25;1193504;9;0.1772733048;85082.0;67784.0;0.0567941121;0.0130102114;0.0
Ihis;Loss;25-anonymity;Flash;0.2;0.5;0.0;25;1193504;9;0.1772733048;109652.0;67784.0;0.0567941121;0.0130102114;0.0
Ihis;Loss;25-anonymity;Flash;0.3;0.5;0.0;25;1193504;9;0.1772733048;149200.0;67784.0;0.0567941121;0.0130102114;0.0
Ihis;Loss;25-anonymity;Flash;0.95;0.5;0.0;25;1193504;9;0.1772733048;336421.0;67784.0;0.0567941121;0.0130102114;0.0
Ihis;Loss;25-anonymity;Flash;0.999;0.5;0.0;25;1193504;9;0.1772733048;340852.0;67784.0;0.0567941121;0.0130102114;0.0
Fars;Loss;50-anonymity;RGR;0.05;0.0;0.05;50;100937;8;0.2579503151;4253.0;8.0;7.92574E-5;0.00615512;0.0061389469
Fars;Loss;50-anonymity;RGR;0.1;0.0;0.05;50;100937;8;0.208403758;5018.0;59.0;5.84523E-4;0.0049322026;0.0048126342
Fars;Loss;50-anonymity;RGR;0.2;0.0;0.05;50;100937;8;0.1695996355;5429.0;0.0;0.0;0.0083720811;0.0083720811
Fars;Loss;50-anonymity;RGR;0.3;0.0;0.05;50;100937;8;0.1493739416;6151.0;49.0;4.854513E-4;0.0071386211;0.0070179001
Fars;Loss;50-anonymity;RGR;0.95;0.0;0.05;50;100937;8;0.0855995886;47679.0;3.0;2.97215E-5;0.0234698736;0.0234607867
Fars;Loss;50-anonymity;RGR;0.999;0.0;0.05;50;100937;8;0.0837263357;154556.0;42.0;4.161011E-4;0.024936117;0.0248085415
Atus;Loss;50-anonymity;RGR;0.05;0.0;0.05;50;539253;9;0.1976524872;26519.0;41.0;7.60311E-5;0.0043775506;0.0043654215
Atus;Loss;50-anonymity;RGR;0.1;0.0;0.05;50;539253;9;0.1185326794;22781.0;44.0;8.15944E-5;0.0072892759;0.0072729871
Atus;Loss;50-anonymity;RGR;0.2;0.0;0.05;50;539253;9;0.0839122594;29121.0;0.0;0.0;0.0246777453;0.0246777453
Atus;Loss;50-anonymity;RGR;0.3;0.0;0.05;50;539253;9;0.0615404343;27011.0;34.0;6.30502E-5;0.0239237348;0.0239078141
Atus;Loss;50-anonymity;RGR;0.95;0.0;0.05;50;539253;9;0.0399370204;280321.0;9.0;1.66898E-5;0.0231125104;0.023107701
Atus;Loss;50-anonymity;RGR;0.999;0.0;0.05;50;539253;9;0.0374618251;2650818.0;28.0;5.19237E-5;0.0220746797;0.0220594692
Ihis;Loss;50-anonymity;RGR;0.05;0.0;0.05;50;1193504;9;0.1867630669;79007.0;0.0;0.0;0.0014819366;0.0014819366
Ihis;Loss;50-anonymity;RGR;0.1;0.0;0.05;50;1193504;9;0.1437035029;87986.0;49.0;4.10556E-5;0.0045465011;0.0045372501
Ihis;Loss;50-anonymity;RGR;0.2;0.0;0.05;50;1193504;9;0.1272722533;96602.0;18.0;1.50816E-5;0.0080861406;0.008082255
Ihis;Loss;50-anonymity;RGR;0.3;0.0;0.05;50;1193504;9;0.1035802328;104467.0;32.0;2.68118E-5;0.009540397;0.0095346398
Ihis;Loss;50-anonymity;RGR;0.95;0.0;0.05;50;1193504;9;0.0667962203;895720.0;18.0;1.50816E-5;0.0193868298;0.0193829072
Ihis;Loss;50-anonymity;RGR;0.999;0.0;0.05;50;1193504;9;0.0650966067;6269335.0;40.0;3.35148E-5;0.0211615834;0.0211526801
Fars;Loss;50-anonymity;Flash;0.05;0.5;0.0;50;100937;8;0.278069186;4101.0;4398.0;0.0435717329;0.0092245447;0.0
Fars;Loss;50-anonymity;Flash;0.1;0.5;0.0;50;100937;8;0.2472326239;4766.0;7214.0;0.0714703231;0.0149199999;0.0
Fars;Loss;50-anonymity;Flash;0.2;0.5;0.0;50;100937;8;0.2472326239;5101.0;7214.0;0.0714703231;0.0149199999;0.0
Fars;Loss;50-anonymity;Flash;0.3;0.5;0.0;50;100937;8;0.2472326239;5842.0;7214.0;0.0714703231;0.0149199999;0.0
Fars;Loss;50-anonymity;Flash;0.95;0.5;0.0;50;100937;8;0.2472326239;27219.0;7214.0;0.0714703231;0.0149199999;0.0
Fars;Loss;50-anonymity;Flash;0.999;0.5;0.0;50;100937;8;0.2472326239;30492.0;7214.0;0.0714703231;0.0149199999;0.0
Atus;Loss;50-anonymity;Flash;0.05;0.5;0.0;50;539253;9;0.2217427924;24152.0;25302.0;0.0469204622;0.0080513085;3.724891E-4
Atus;Loss;50-anonymity;Flash;0.1;0.5;0.0;50;539253;9;0.1754083435;25137.0;48350.0;0.0896610682;0.0184255905;3.86966E-4
Atus;Loss;50-anonymity;Flash;0.2;0.5;0.0;50;539253;9;0.1738489432;40747.0;60132.0;0.1115098108;0.024350379;3.963241E-4
Atus;Loss;50-anonymity;Flash;0.3;0.5;0.0;50;539253;9;0.1738489432;52250.0;60132.0;0.1115098108;0.024350379;3.963241E-4
Atus;Loss;50-anonymity;Flash;0.95;0.5;0.0;50;539253;9;0.1738489432;63048.0;60132.0;0.1115098108;0.024350379;3.963241E-4
Atus;Loss;50-anonymity;Flash;0.999;0.5;0.0;50;539253;9;0.1738489432;68925.0;60132.0;0.1115098108;0.024350379;3.963241E-4
Ihis;Loss;50-anonymity;Flash;0.05;0.5;0.0;50;1193504;9;0.2163466013;77956.0;55604.0;0.0465888677;0.0080460268;0.0
Ihis;Loss;50-anonymity;Flash;0.1;0.5;0.0;50;1193504;9;0.2086046538;84342.0;82832.0;0.0694023648;0.0140912391;0.0
Ihis;Loss;50-anonymity;Flash;0.2;0.5;0.0;50;1193504;9;0.2086046538;111898.0;82832.0;0.0694023648;0.0140912391;0.0
Ihis;Loss;50-anonymity;Flash;0.3;0.5;0.0;50;1193504;9;0.2086046538;135711.0;82832.0;0.0694023648;0.0140912391;0.0
Ihis;Loss;50-anonymity;Flash;0.95;0.5;0.0;50;1193504;9;0.2086046538;340074.0;82832.0;0.0694023648;0.0140912391;0.0
Ihis;Loss;50-anonymity;Flash;0.999;0.5;0.0;50;1193504;9;0.2086046538;388831.0;82832.0;0.0694023648;0.0140912391;0.0
