;;;;;;Privacy Strength;Records;QIs;Utility;Runtime;Suppressed;Suppressed Ratio;Variance;Variance (not suppressed)
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression Limit;Suppression Weight;Value;Value;Value;Value;Value;Value;Value;Value;Value
Cup;Loss;5-anonymity;RGR;0.1;0.35;5.0;63441.0;8.0;0.12265762490614267;9360.4;2.0;3.1525354266168566E-5;0.0015134949034382385;0.0015061918716455995
Cup;Loss;5-anonymity;RGR;0.1;0.4;5.0;63441.0;8.0;0.12265762490614267;9471.6;2.0;3.1525354266168566E-5;0.0015134949034382385;0.0015061918716455995
Cup;Loss;5-anonymity;RGR;0.1;0.45;5.0;63441.0;8.0;0.12265762490614267;9473.0;2.0;3.1525354266168566E-5;0.0015134949034382385;0.0015061918716455995
Cup;Loss;5-anonymity;RGR;0.1;0.5;5.0;63441.0;8.0;0.1233346195032465;9744.6;1.0;1.5762677133084283E-5;0.0017420035288189105;0.001738371699952821
Cup;Loss;5-anonymity;RGR;0.2;0.0;5.0;63441.0;8.0;0.0992297773909582;10345.8;2.0;3.1525354266168566E-5;0.0055302657693865375;0.005521731289212952
Cup;Loss;5-anonymity;RGR;0.2;0.05;5.0;63441.0;8.0;0.10142800868236783;9708.8;5.0;7.881338566542141E-5;0.003390436724254555;0.0033699655885475513
Cup;Loss;5-anonymity;RGR;0.2;0.1;5.0;63441.0;8.0;0.10142800868236783;9321.8;5.0;7.881338566542141E-5;0.003390436724254555;0.0033699655885475513
Cup;Loss;5-anonymity;RGR;0.2;0.15;5.0;63441.0;8.0;0.11177650548018551;8756.6;3.0;4.728803139925285E-5;0.0025512984953798405;0.0025398735499419615
Cup;Loss;5-anonymity;RGR;0.2;0.2;5.0;63441.0;8.0;0.11177650548018551;9163.4;3.0;4.728803139925285E-5;0.0025512984953798405;0.0025398735499419615
Cup;Loss;5-anonymity;RGR;0.2;0.25;5.0;63441.0;8.0;0.11933193008374035;8998.8;1.0;1.5762677133084283E-5;0.001191815203076607;0.0011881680606754305
Cup;Loss;5-anonymity;RGR;0.2;0.3;5.0;63441.0;8.0;0.11941787029673892;9285.4;1.0;1.5762677133084283E-5;0.0012163272829248336;0.0012126828177469247
Cup;Loss;5-anonymity;RGR;0.2;0.35;5.0;63441.0;8.0;0.11941787029673892;9564.6;1.0;1.5762677133084283E-5;0.0012163272829248336;0.0012126828177469247
Cup;Loss;5-anonymity;RGR;0.2;0.4;5.0;63441.0;8.0;0.12251136299370154;10711.2;1.0;1.5762677133084283E-5;0.0014828441642963594;0.001479189657510958
Cup;Loss;5-anonymity;RGR;0.2;0.45;5.0;63441.0;8.0;0.12251136299370154;11313.4;1.0;1.5762677133084283E-5;0.0014828441642963594;0.001479189657510958
Cup;Loss;5-anonymity;RGR;0.2;0.5;5.0;63441.0;8.0;0.12319915799503559;11546.6;5.0;7.881338566542141E-5;0.0016420894294556826;0.0016239104866639178
Cup;Loss;5-anonymity;RGR;0.3;0.0;5.0;63441.0;8.0;0.09251218673254936;10677.4;1.0;1.5762677133084283E-5;0.005512470293507114;0.005508345972646556
Cup;Loss;5-anonymity;RGR;0.3;0.05;5.0;63441.0;8.0;0.09251218673254936;11551.6;1.0;1.5762677133084283E-5;0.005512470293507114;0.005508345972646556
Cup;Loss;5-anonymity;RGR;0.3;0.1;5.0;63441.0;8.0;0.10106950120560484;10838.8;1.0;1.5762677133084283E-5;0.0032360320498411913;0.003231931989239979
Cup;Loss;5-anonymity;RGR;0.3;0.15;5.0;63441.0;8.0;0.11022024987426733;10929.4;2.0;3.1525354266168566E-5;0.004047106418974488;0.004039602203265699
Cup;Loss;5-anonymity;RGR;0.3;0.2;5.0;63441.0;8.0;0.11168275434265038;11347.8;5.0;7.881338566542141E-5;0.002496023396282808;0.002476967140154422
